,Tm,W,L,W/L%,PW,PL,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 15,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 20,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Year
11,Atlanta Hawks,4.0,7.0,0.364,3,8,102.0,110.6,-8.6,82.4,0.323,0.238,0.499,,0.45,12.6,26.1,0.241,,0.514,14.4,69.8,0.263,2009
12,Philadelphia 76ers,2.0,4.0,0.333,1,5,100.5,109.2,-8.7,88.0,0.276,0.211,0.526,,0.492,14.9,21.3,0.196,,0.514,12.9,74.2,0.237,2009
13,Utah Jazz,1.0,4.0,0.2,1,4,104.2,114.1,-9.9,93.4,0.373,0.18,0.517,,0.463,13.4,30.4,0.277,,0.546,14.6,73.5,0.271,2009
14,Detroit Pistons,0.0,4.0,0.0,0,4,93.6,112.2,-18.6,83.3,0.188,0.159,0.468,,0.429,11.9,19.7,0.156,,0.498,11.7,73.2,0.349,2009
15,New Orleans Hornets,1.0,4.0,0.2,0,5,93.7,120.7,-27.0,89.8,0.399,0.262,0.51,,0.439,18.2,22.4,0.322,,0.563,12.3,73.5,0.29,2009
0,Orlando Magic,10.0,4.0,0.714,11,3,110.8,100.9,9.9,86.5,0.426,0.38,0.574,,0.533,14.0,24.8,0.299,,0.458,13.6,77.3,0.269,2010
1,Phoenix Suns,10.0,6.0,0.625,10,6,117.8,112.7,5.1,90.9,0.353,0.307,0.582,,0.536,12.0,27.4,0.273,,0.512,11.1,72.6,0.242,2010
2,Los Angeles Lakers,16.0,7.0,0.696,15,8,112.8,108.6,4.2,89.6,0.32,0.255,0.546,,0.502,11.9,30.9,0.241,,0.475,12.0,72.4,0.277,2010
3,Boston Celtics,15.0,9.0,0.625,14,10,104.8,101.7,3.1,89.2,0.341,0.211,0.539,,0.491,13.8,23.1,0.258,,0.473,15.2,74.6,0.285,2010
4,Cleveland Cavaliers,6.0,5.0,0.545,6,5,108.2,106.8,1.4,92.6,0.42,0.277,0.568,,0.517,14.5,22.1,0.311,,0.481,11.0,75.7,0.24,2010
5,Dallas Mavericks,2.0,4.0,0.333,3,3,105.1,105.6,-0.5,88.4,0.294,0.244,0.518,,0.468,12.7,28.1,0.233,,0.486,12.3,74.0,0.224,2010
6,Denver Nuggets,2.0,4.0,0.333,3,3,113.9,115.1,-1.2,96.0,0.469,0.231,0.577,,0.517,12.6,25.8,0.359,,0.548,13.5,76.9,0.357,2010
7,Oklahoma City Thunder,2.0,4.0,0.333,3,3,103.6,105.4,-1.8,90.6,0.412,0.236,0.506,,0.426,11.9,26.7,0.344,,0.488,12.4,73.6,0.196,2010
8,Utah Jazz,4.0,6.0,0.4,4,6,114.0,116.4,-2.4,93.9,0.421,0.219,0.568,,0.52,12.3,26.5,0.307,,0.522,12.1,71.0,0.327,2010
9,San Antonio Spurs,4.0,6.0,0.4,4,6,105.7,109.4,-3.7,90.9,0.339,0.181,0.533,,0.494,12.3,24.0,0.236,,0.499,12.7,73.6,0.245,2010
10,Milwaukee Bucks,3.0,4.0,0.429,3,4,105.0,109.3,-4.3,85.7,0.25,0.268,0.51,,0.465,12.3,27.9,0.201,,0.482,11.9,66.9,0.201,2010
11,Atlanta Hawks,4.0,7.0,0.364,3,8,104.3,112.2,-7.9,85.8,0.276,0.171,0.501,,0.453,11.6,29.8,0.217,,0.515,12.3,72.4,0.224,2010
12,Miami Heat,1.0,4.0,0.2,1,4,96.2,105.2,-9.0,91.1,0.241,0.236,0.513,,0.479,17.3,22.6,0.176,,0.523,15.6,79.2,0.266,2010
13,Chicago Bulls,1.0,4.0,0.2,1,4,105.0,115.0,-10.0,92.4,0.265,0.125,0.504,,0.457,9.4,25.0,0.211,,0.558,13.2,77.0,0.249,2010
14,Charlotte Bobcats,0.0,4.0,0.0,1,3,100.2,111.0,-10.8,85.4,0.362,0.241,0.523,,0.477,15.9,23.0,0.259,,0.522,13.3,75.2,0.335,2010
15,Portland Trail Blazers,2.0,4.0,0.333,1,5,106.5,118.3,-11.8,87.3,0.364,0.217,0.522,,0.471,11.0,26.5,0.269,,0.536,12.4,71.0,0.247,2010
0,Dallas Mavericks,16.0,5.0,0.762,15,6,112.9,106.3,6.6,86.6,0.339,0.297,0.571,,0.519,13.0,25.1,0.274,,0.482,13.5,71.7,0.245,2011
1,Chicago Bulls,9.0,7.0,0.563,11,5,105.8,100.9,4.9,86.9,0.288,0.238,0.51,,0.461,13.1,32.3,0.226,,0.462,13.9,76.1,0.256,2011
2,Miami Heat,14.0,7.0,0.667,13,8,106.4,103.4,3.0,86.3,0.379,0.244,0.542,,0.485,13.9,26.0,0.295,,0.475,13.0,75.4,0.215,2011
3,Orlando Magic,2.0,4.0,0.333,3,3,102.4,100.3,2.1,86.6,0.367,0.31,0.503,,0.449,12.7,28.9,0.27,,0.465,13.1,76.6,0.205,2011
4,Oklahoma City Thunder,9.0,8.0,0.529,10,7,109.5,107.5,2.0,90.8,0.393,0.25,0.548,,0.482,14.2,31.3,0.321,,0.46,11.4,74.4,0.305,2011
5,Boston Celtics,5.0,4.0,0.556,5,4,105.1,103.6,1.5,89.1,0.262,0.208,0.552,,0.514,15.4,23.6,0.204,,0.466,14.2,72.1,0.276,2011
6,Memphis Grizzlies,7.0,6.0,0.538,6,7,105.4,106.1,-0.7,90.0,0.335,0.144,0.512,,0.46,11.9,28.1,0.255,,0.482,14.3,72.2,0.289,2011
7,Los Angeles Lakers,4.0,6.0,0.4,5,5,107.8,109.3,-1.5,86.5,0.315,0.213,0.526,,0.477,12.4,30.8,0.244,,0.524,13.7,78.8,0.245,2011
8,San Antonio Spurs,2.0,4.0,0.333,2,4,102.2,105.6,-3.4,90.8,0.369,0.235,0.526,,0.471,13.8,23.6,0.281,,0.498,13.1,76.8,0.238,2011
9,Atlanta Hawks,6.0,6.0,0.5,4,8,100.4,105.5,-5.1,85.9,0.289,0.184,0.505,,0.464,12.7,22.9,0.21,,0.47,12.4,70.6,0.233,2011
10,Denver Nuggets,1.0,4.0,0.2,2,3,103.4,108.5,-5.1,94.2,0.468,0.239,0.525,,0.468,11.6,17.2,0.33,,0.468,12.5,70.8,0.343,2011
11,Portland Trail Blazers,2.0,4.0,0.333,2,4,106.3,112.5,-6.2,83.0,0.294,0.228,0.534,,0.487,12.2,24.4,0.23,,0.507,12.5,71.5,0.253,2011
12,Indiana Pacers,1.0,4.0,0.2,1,4,100.2,108.5,-8.3,90.0,0.304,0.192,0.496,,0.445,14.3,29.1,0.234,,0.461,14.8,63.2,0.291,2011
